,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
16309,Oreochromis karongae,Critically Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16310,Oreochromis squamipinnis,Critically Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16311,Chindongo ater,Near Threatened,2018,2018-05-23 00:00:00 UTC,Unknown,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16312,Chindongo saulosi,Critically Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16313,Labidochromis zebroides,Endangered,2018,2018-05-22 00:00:00 UTC,Unknown,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16314,Melanochromis lepidiadaptes,Critically Endangered,2018,2018-05-21 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16315,Nyassachromis breviceps,Critically Endangered,2018,2018-05-21 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16316,Placidochromis phenochilus,Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16317,Pseudotropheus brevis,Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16318,Trematocranus microstoma,Endangered,2018,2018-05-21 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16319,Nyassachromis boadzulu,Endangered,2018,2018-05-23 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16320,Corematodus shiranus,Critically Endangered,2018,2018-06-19 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16321,Cyrtocara moorii,Vulnerable,2018,2018-05-23 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16322,Otopharynx pachycheilus,Vulnerable,2018,2018-05-22 00:00:00 UTC,Unknown,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
16323,Mchenga conophoros,Critically Endangered,2018,2018-05-22 00:00:00 UTC,Decreasing,Freshwater,Afrotropical,"Global, Eastern Africa & Pan-Africa",Vertebrates,Ray-finned fishes
