,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
183,Margaritifera homsensis,Endangered,2014,2013-04-25 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,BIVALVIA
184,Anodonta pseudodopsis,Endangered,2014,2013-04-04 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,BIVALVIA
185,Pseudamnicola solitaria,Endangered,2014,2013-12-06 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,GASTROPODA
186,Gyraulus bekaensis,Vulnerable,2014,2013-04-02 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,GASTROPODA
187,Heleobia galilaea,Vulnerable,2014,2013-02-20 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,GASTROPODA
188,Belgrandiella libanica,Near Threatened,2014,2013-04-15 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,GASTROPODA
189,Stagnicola kayseris,Endangered,2015,2013-02-20 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,GASTROPODA
190,Boophis baetkei,Critically Endangered,2015,2014-11-23 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Afrotropical,Global,CHORDATA,AMPHIBIA
191,Pelochelys cantorii,Critically Endangered,2021,2018-07-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine,Indomalayan,Global,CHORDATA,REPTILIA
192,Pelochelys bibroni,Vulnerable,2020,2018-03-29 00:00:00 UTC,Unknown,Terrestrial|Freshwater (=Inland waters)|Marine,Australasian,Global,CHORDATA,REPTILIA
193,Leptobotia elongata,Vulnerable,2013,2010-11-26 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan|Palearctic,Global,CHORDATA,ACTINOPTERYGII
194,Luciocyprinus langsoni,Vulnerable,2012,2012-02-13 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,ACTINOPTERYGII
195,Verasper variegatus,Vulnerable,2021,2021-03-15 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
197,Samoana burchi,Critically Endangered,2012,2011-09-12 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
198,Tlaloc hildebrandi,Endangered,2019,2018-10-04 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
